year,state_district,party,candidate,vote_pct
1976,Tennessee1,republican,James H. (Jimmy) Quillen,0.5794979079497908
1976,Tennessee2,republican,John J. Duncan,0.628021445366269
1976,Tennessee3,democrat,Marilyn Lloyd,0.6747980323475097
1976,Tennessee4,democrat,"Albert Gore, Jr.",0.9402638462227945
1976,Tennessee5,democrat,Clifford Allen,0.9241944605621699
1976,Tennessee6,republican,"Robin L. Beard, Jr.",0.6445485871812543
1976,Tennessee7,democrat,Ed Jones,0.9998580875883405
1976,Tennessee8,democrat,Harold E. Ford,0.6066922159152536
1976,Texas1,democrat,"Sam B. Hall, Jr.",0.8371609839349979
1976,Texas2,democrat,Charles Wilson,0.9503768576741282
1976,Texas3,republican,James M. Collins,0.740420806091274
1976,Texas4,democrat,Ray Roberts,0.6272145683934894
1976,Texas5,democrat,Jim Mattox,0.5396523758030659
1976,Texas6,democrat,Olin E. Teague,0.6592940941872445
1976,Texas7,republican,Bill Archer,1.0
1976,Texas8,democrat,Bob Eckhardt,0.606511788334543
1976,Texas9,democrat,Jack Brooks,1.0
1976,Texas10,democrat,J. J. Pickle,0.7682116988979992
1976,Texas11,democrat,W. R. Poage,0.5740398093636109
1976,Texas12,democrat,Jim Wright,0.7583402230018099
1976,Texas13,democrat,Jack Hightower,0.5929761814612665
1976,Texas14,democrat,John Young,0.6141937431502129
1976,Texas15,democrat,E (Kika) de la Garza,0.7436705885756022
1976,Texas16,democrat,Richard C. White,0.5778974874371859
1976,Texas17,democrat,Omar Burleson,1.0
1976,Texas18,democrat,Barbara Jordan,0.8550820925406822
1976,Texas19,democrat,George Mahon,0.5463551669059472
1976,Texas20,democrat,Henry B. Gonzalez,1.0
1976,Texas21,democrat,Robert (Bob) Krueger,0.7103899191631003
1976,Texas22,democrat,Bob Gammage,0.500695013537204
1976,Texas23,democrat,"Abraha (Chick) Kazen, Jr.",1.0
1976,Texas24,democrat,Dale Milford,0.6339391060510872
1976,Utah1,democrat,Gunn McKay,0.5817307153189724
1976,Utah2,republican,Dan Marriott,0.5242888165038002
1976,Vermont0,republican,James M. Jeffords,0.6735359854532073
1976,Virginia1,republican,"Paul S. Trible, Jr.",0.48555292526208993
1976,Virginia2,republican,G. William Whitehurst,0.6568719124181817
1976,Virginia3,democrat,David E. Satterfield III,0.8792680600594054
1976,Virginia4,republican,"Robert W. """"Bob"""" Daniel, Jr.",0.5302890091116174
1976,Virginia5,democrat,W. C. (Dan) Daniel,0.9995943766756695
1976,Virginia6,republican,M. Caldwell Butler,0.6222255713267935
1976,Virginia7,republican,J. Kenneth Robinson,0.816414808950962
1976,Virginia8,democrat,Herbert E. Harris II,0.5160016612222381
1976,Virginia9,republican,William C. Wampler,0.5734310822428121
1976,Virginia10,democrat,Joseph L. Fisher,0.547203267735858
1976,Washington1,republican,Joel Pritchard,0.7185308223600714
1976,Washington2,democrat,Lloyd Meeds,0.4926511764543877
1976,Washington3,democrat,Don Bonker,0.7080342513848794
1976,Washington4,democrat,Mike McCormack,0.5777906883564388
1976,Washington5,democrat,Thomas S. Foley,0.5801147559148436
1976,Washington6,democrat,Norman D. Dicks,0.7348125738998903
1976,Washington7,democrat,Brock Adams,0.7299669073076965
1976,West Virginia1,democrat,Robert H. Mollohan,0.5803511485640934
1976,West Virginia2,democrat,Harley O. Staggers,0.7357249475042376
1976,West Virginia3,democrat,John M. Slack,1.0
1976,West Virginia4,democrat,Nick Joe Rahall II,0.4558377394469966
1976,Wisconsin1,democrat,Les Aspin,0.6489869260796828
1976,Wisconsin2,democrat,Robert W. Kastenmeier,0.6559343888055127
1976,Wisconsin3,democrat,Alvin J. Baldus,0.5811809737120316
1976,Wisconsin4,democrat,Clement J. Zablocki,0.9995529571593621
1976,Wisconsin5,democrat,Henry S. Reuss,0.7776740379572477
1976,Wisconsin6,republican,William A. Steiger,0.6334969197034562
1976,Wisconsin7,democrat,David R. Obey,0.7325305530976288
1976,Wisconsin8,democrat,Robert J. Cornell,0.5085179697158339
1976,Wisconsin9,republican,"Robert W. Kasten, Jr.",0.65905506108062
1976,Wyoming0,democrat,Teno Roncalio,0.564444122527458
1978,Alabama1,republican,Jack Edwards,0.6393577090075873
1978,Alabama2,republican,"William L. """"Bill"""" Dickinson",0.5400083904349042
1978,Alabama3,democrat,Bill Nichols,0.9999732966607474
1978,Alabama4,democrat,Tom Bevill,0.9999885558645472
1978,Alabama5,democrat,Ronnie G. Flippo,0.9684008085799315
1978,Alabama6,republican,John H. Buchanan Jr.,0.6170694367480347
1978,Alabama7,democrat,Richard C. Shelby,0.938142588212579
1978,Alaska0,republican,Don Young,0.5540918131527455
1978,Arizona1,republican,John J. Rhodes,0.7096932257669356
